source,reference,hypothesis
"දුවන්න පනින්න බෑ ඇඟදිගේ, තේරුනාද පොඩි චෙෆ්?","No scampering or scurrying. Understand, Little Chef?","You can't run, you can't jump, you understand, little chef?"
එය මම එකපාරටම.,All of a sudden I just.,It's me all at once.
ඒත් ඇත්තටම මෙහෙ හරිම අපූරුයි.,Butitreallyis amazinguphere.,But it's really amazing here.
ඕන එකක්.,Just whatever.,Anything.
"Carter, aඔයාට විශ්වාස ඒ Naseri කියලා?","Carter, are you sure it was Naseri?","Carter, are you sure it's Naseri?"
"මේ ගැනිට ටිකක් පිස්සු මෙකි කියනවා මුමුනවා ඇහෙනවලු, දැන් කියනවා කළු දුමක් එනවලු∙",This is a woman who blew up her own shelter. Now she talks about black smoke and hearing whispers.,"It's a little crazy about this. I hear her kissing, and now I hear black smoke coming."
ग्यालेक्टिक समकक्ष,Galactic Coordinates,Galactic Coordinates
ඒක මරු,"Oh, that's the spirit.",That's great.
කියන්න තියෙන දෙයක් මෙතන ඉඳන් කියන්න.,"Say what you want, right here. Bumm-bumm, bole!","Anything you have to say, say it from here."
බෑග් ටික ගනින්.,Now just pick up the bags.,Get the bags.
-ඔහේ මොඩයෙක් වෙලා ඉන්නේ,- You're getting fooled by her.,- You're an idiot.
- ආ එහෙමද? - ඔයා දන්නවා ඉන්නවා කියලා.,There's a dead giant in our backyard!,- You know there are.
කියපන් මට මොකද වෙන්නේ කියලා ?,"Talk to me, buddy. Tell me what's going on?",Tell me what's happening to me?
ඔයා හොද වැඩක් කරල තියනේනෙ.,you'd have done a good job!,You did a good job.
මොන මගුලක්ද ඔයාට වෙලා තියෙන්නේ?,What's gotten into you?,What the hell is wrong with you?
"ඇය මට එනන් කිලන් කියනවා, ඇය එනවා කියලා.","She's always calling me beforehand, letting me know she's coming.",She's coming to tell me she's coming.
ඔබට ඇත්තටම සිගරැට් එපාද?,Are you sure you won't take a cigarette?,You really don't want a cigarette?
"නෑ, කරදර වෙන්න එපා.","No, don't worry.","No, don't worry."
तपाईँले प्रविष्ट गरिएको ठेगाना वैध छैन ।,The address you entered is not valid.,The address you entered is not valid.
"හායි, සන්ජු, කෝපි ලෑස්තියි!","Hi, Sanju. Coffee ready!","Hi, Sanju, coffee is ready!"
"හොඳයි, මට එහෙම උනේ නෑ, ඉතින් මම ඇල්ෆ්‍රෙඩෝ ව කලින්ම සම්බන්ධ කර ගත්තා, ඔහු ඔයාට පිහිට වෙන්න සූදානමින් ඉන්නේ.","Well, I did not, so I reached out to Alfredo earlier on, and he is standing by to relieve you.","Well, I didn't, so I contacted Alfredo in advance, and he's ready to help you."
දැන් පණ දාගෙන හොයනවා ඇති.,Now let him search.,He's probably looking for you now.
खगोलिय भूमध्य रेखाको प्रदर्शन टगल गर्नुहोस्,Toggle display of the celestial equator,Toggle the display of the astronomical equator
සුක්කානම තද කරන්න,Pull that rudder!,Press the steering wheel
ඔහු කොච්චර නරක තත්වෙකද හිටියේ?,How bad was he?,How bad was he?
මම මිස්ටර් ග්‍රෙනින්ගේ ඩොක්ටර්.,I' m Mr. Grenning's doctor.,I'm Mr. Grenin's doctor.
'%s' फोल्डर भण्डार गर्दै,Storing folder '%s',Storing folder '%s'
छवि प्रभाव:,Diagonal Wipe Effect,Image Effect:
"गलत x बिन्दु मान ""%s"" %f; यसलाई छाड्दैछ।","Incorrect x Point value ""%s"" %f; discarding it.","False x-point value ""%s"" %f; leaving it."
पछाडि इतिहास,All history,Back History
- ඔහේට හිම ගුලියක් හදන්න ඔනද?,You wanna make snowballs?,- You want to make a snowball?
මගේ පස්සේ ගෑවිගෙන උණ්ඩේ ගිහින් තියෙන්නේ.,Bullet passed touching my rear.,The bullet went after me.
මට හොඳට මතකයි එයාලා ඊට පස්සේ කියපු දේවල්.,"I remember exactly what they said, back then.",I remember very well what they said afterwards.
මේවා ඔයාට.,These are for you.,These are for you.
එයා කිව්ව එයාට නින්දයාම ගැන අපහසුවක් කියල.,Said he had a hard time sleeping.,He said he had trouble sleeping.
මම නතර කරන්නද?,"Yeah, let's pull over and get shot!",Should I stop?
මම හිතුවේ ඌ ලොකු එකකේ කියල∙,I thought it'd be bigger.,I thought he was a big one.
අන්තිමට. මම හිතුවේ නෑ ආයෙත් ඔහේව දකින්න පුලුවන් වේවි කියලා.,I never thought I'd be happy to see you again.,I never thought I'd see you again.
"දන්නවාද, මං හිතන්නේ මේ පාලකයෙන් මාව නතර කරලා තියාගන්නවා.","You know, I think this regulator is holding me back.","You know, I think this controller's holding me back."
තේලියස්: ඇය දීප්තිමත්!,She is radiant!,She's brilliant!
लेख सूची,Article List,List of articles
අනේ මට උදව් කරන්න.,Please help me right now.,Please help me.
අපි මේ මඟුලෙන් එළියට පැන ගනිමු.,Let's get the fuck out of here.,Let's get the hell out of here.
"කොල්සන් සාර්ථකව එන්ජිම තුලට පැමිනුනා, පාලනය දැන් ඔහු අතේ.","Colson, successfully making it in to the cab, now he controls.","Colson has successfully entered the engine, and control is now in his hands."
මම බොන්නේ නැනේ?,"I ain't drinking, am I?",I'm not drinking?
"මං ඔයාට සුභපතනවා, රෝමය ඔයාට සුභපතනවා.",I congratulate you. Rome congratulates you.,"I wish you well, Rome wishes you well."
මම ඔයාට කියන්නෙ.,I'll tell you.,I'm telling you.
මං මේක හදාගෙන යන්නෙ නෑ.,I'm not making this up.,I'm not gonna fix this.
නැ ඒකට කමක් නැ මම හිතනවා ඔයා මේවට කැමති ෙවයි කියලා,"No, it's fine. I hope you like dinner rolls.","No, it's okay. I hope you like this."
මාව විශ්වාස කරන්න !,Believe me!,Trust me!
කොහොමද එයාට?,How is she?,How is he?
එයාලා මට කෙමිකල් වගයකින් ගැහුවා.,They hit me with some kind of chemical.,They hit me with some chemicals.
මේක කොහනේද ගත්තේ?,- Where'd you get this?,Where did you get this?
म्याट्रिक्सको न्यूलिटि प्राप्त गर्नुहोस्,Get the nullity of a matrix,Get the _Nullity of the Matrix
ඒක තමයි අපි මෙතනට කැමති.,It's the way we like it.,That's what we like here.
"චෝයි, ඔයා ඇයි බෙන් ට නොකියන්නෙ අපි කරන්නෙ කොහොමද කියලා?","Choi, why don't you explain to Ben how we do?","Choi, why don't you tell Ben how we do it?"
- ඔයාට ඔත්තුකාරයෙක් ඉන්නෙ,- You got a spy though.,- You have a spy.
आदेश रेखाबाट यसलाई बोलाउँदा सङ्केतन निर्दिष्ट गर्न यो प्रयोग गर्नुहोस् । यदि निर्दिष्ट गरिएको छैन भने यसले स्थानिय सङ्केतनमा पूर्वनिर्धारित गर्नेछ ।,Use this to specify the encoding when calling it from the command line. It will default to the local encoding if not specified.,"Use this to specify encryption when calling it from the command line. If not specified, it will default to local encryption."
හිස් වැසුම් දාගන්න!,Helmets on!,Put on a helmet!
ඔහුට මේ නීරස රටම ආපහු ගන්න පුළුවන්.,He can have this whole insipid country back.,He can take back this boring country.
දන්නවද මම මේ සමාගම ඔයා එක්ක පටන් ගත්තේ ඇයි කියලා ?,Do you know why I started this company with you?,Do you know why I started this company with you?
අලුත් තැනකට.,Some new place.,To a new place.
ඇතුලට ගන්න!,Let me in!,Get in!
ජැක් හෙට ඔයා මතට කඩා පනින්නයි ඉන්නේ.,"Jacks are gonna jump on you, tomorrow.",Jack's gonna crash on you tomorrow.
මානසික ලෙඩා.,"Hey, answer me, you mental fool.",Mental illness.
"නැ, එහෙම දෙයක් නැ.","No, nothing like that.","No, it's not."
सूत्र चयन,Formula Selection,Formula Selection
प्रस्तुतिकरण मोडका लागि विकल्प,Exit Presentation Mode,Options for presentation mode
"හොදයි, පොඩ්ඩක් ඉන්න .",All right. Hang on.,"Okay, wait a minute."
ඔයාගේ ස්වෙටරය කන පිට ඇඳලා තියෙන්නේ.,Your sweater's inside out.,Your sweater is painted on the ears.
"- $200ක් පැය තුනකට, කෑෂ් වලින් දෙන්න.","Just $200 for three hours, cash please.","- $200 for three hours, cash."
මම ප්‍රාර්ථනා කරනවා අපිට ළමයකේ හිටියා නම් කියලා.,I WISH WE HAD A CHILD,I wish we had a baby.
මට බේරෙන්න බැරිවෙයි.,I won't make it.,I won't survive.
අලින්ට දුවන්නත් ඕනෙනේ... කවුද ඉතින් එයාලව නතර කරන්නේ?,"Of course, if elephants want to run who can physically stop them?",The elephant wants to run... so who's stopping them?
"""මගේ කේශ කලාපය මුදා හරිනවා""","""Untangle my tresses.""","""Release my hair"""
- ඊළඟට මොකද?,- Then what?,- What's next?
अनलाइन शब्दकोशमा शब्द परिभाषा र हिज्जे जाँच गर्नुहोस्,Check word definitions and spellings in an online dictionary,Check word definitions and spellings in online dictionaries
ජෙනරේටරය පිපිරුවා.,The generator blew.,The generator exploded.
මම ඔයාට පස්සේ ගන්නම්.,I gotta call you back.,I'll pick you up.
මට ඔයාගේ සජීවී දත්ත සම්ප්‍රේෂණය ඕනේ වෙනවා නගරය පුරාවටම.,I'm going to need direct access to your live feed citywide.,I need your live data transmission across the city.
මම එකට විදින්නේ නැහැ.,"I'm not ""hitting that. """,I'm not gonna shoot it.
परिमिति राख्नुहोस्,Populate Parameters,Set Parameters
यसमा होस्टलाई जडान गर्नुहोस्:,Host to connect to:,Connect the host to:
ඔව්. මගේ පුතත් මෙහේ නෑ.,"Meanwhile, my son is out there.","Yeah, my son's not here either."
प्रयोगकर्ता मार्ग: desktop_BAR_autostart_BAR_trash_BAR_document,User path: desktop_BAR_autostart_BAR_document,User path: desktop_BAR_autostart_BAR_trash_BAR_document
පල්දෝරු වල තියෙන්න අහවල් වැඩක්ද?,Work? What kind of work are you gonna find in the sewers?,What's the matter with the armour?
අවුරුදු එකහ මාරකට විතර කලින්.,About a year and half ago.,About a hundred years ago.
පරක්ෂාකරලා බලමු.,Let's check.,Let's try it.
නිල් සුරංගනාවි මම ඇත්ත කෙනකේ කරයි.,The Blue Fairy will make me into one.,Blue Fairy makes me real.
විරෝධතාකරුවන් බෝතල් සහ ගිණිකෙලි විසි කිරීම නිසා එයට පොලිසිය මැදිහත් වී තිබෙනවා.,The police had to intervene - when protesters started throwing fireworks and bottles.,The police intervened as the protesters threw bottles and fireworks.
එයා පල්ලෙහාට ගියා.,She's downstairs.,He went down.
සෑම මිනිසෙක්ම සමානයි. කවුරු කළත් අපරාධයක් කියන්නේ අපරාධයක්ම තමයි.,A criminal is a criminal,"Every human being is equal, no matter who commits a crime, it's a crime."
- මගේ එහා පැත්තේ ඉන්න කෙනාට කටවහගෙන ඉන්න බෑ.,-The person next to me won't shut up.,- The man next to me can't keep quiet.
අත් ඔළුවෙ තියාගන්න.,hands on your head. on your head!,Keep your hands on your head.
උන් මේකට උඹව අල්ල ගත්තද?,Did they rope you into this?,Did they get you for this?
මං ඔයාව ෂොපින් එක්ක යන්නම්.,I'll take you shopping.,I'll take you to shopping.
नेयम - dist42Stencils,Pneum - dist42,Neym - dist42
ඒත් ඇයි එයාට මම මගේ මරණය මතක් කරනවට අකමැති?,But why doesn't he want me to remember my death?,But why doesn't he want me to remind him of my death?
ෂෝගන් හි තරඟාවලි සමූහය පැවැත්වීම මගේ පියාට ලොකු ගෞරවයක්.,Hosting the Shogun's tournament is a great honor for my father.,It's a great honor for my father to host the Shogun's tournament.
දැන් මම උත්තරය දනිමි.,Because now I know.,Now I know the answer.
මොනවද අහනවද?,"Asking me, what's that?",What are you asking?
ඔහු තමයි පුතෙක් වගේ මාගේ ලගින්ම හිටිය කෙනා,He is the closest thing to a son I'll ever have.,He's the one who was so close to me as a son.
එන්න නැගිටින්න ගිහින් කමු,Let's all eat,"Come on, let's get up and eat."
ඒකා මගේ අම්මව මැරුවා!,He killed my mom!,He killed my mother!
සමාවෙන්න පරක්කු වුණා.,I'm sorry I'm late.,Sorry I'm late.
බලන්න අපිට මොනවාද පෙන්නේ කියල මෙතන.,Looky what we apparently have here.,Look what we see here.
ඔහුට බෑ සාක්ශි ඉවත් කරන්න..,Can't manufacture evidence out of thin air.,He can't remove the evidence..
දැන් උත්සහ කරන්න,Try it now.,Try now.
අනික් අතෙන් සටන් කරන්න ඉගෙන ගන්න.,Learn to fight with your other hand.,Learn to fight with the other hand.
"- කටපරිස්සම් කරගනින්, පොඩි එකී!","- Watch your mouth, little girl!","- Be careful, baby!"
यो उदाहरण फाइल प्रयोग गर्न तपाईँले फाइलको एउटा सम्पादकिय प्रतिलिपि बचत गर्नपर्दछ। सर्भरमा एउटा नयाँ डाटावेस सिर्जना गरिनु पर्दछ।,To use this example file you must save an editable copy of the file. A new database will also be created on the server.,To use this example file you must save an editable copy of the file. A new database must be created on the server.
මට දැෙනන විදිහට ෙහාද කෑමක් ගෙනත් වගෝ බඩ ගින්ෙන හිටියේ.,"Looks like you've ordered good food, I'm hungry.",I'm looking like I'm hungry with a nice meal.
फाइल पुन: लोड गर्नुहोस्,Reload F_ile,_Re-Load File
पूर्वावलोकन देखाउनुहोस्,Show Aside Preview,Show Preview
तह नाम:,Layer name:,Layer name:
"- සුබ සන්ධ්‍යාවක්, ඩොක්ටර් හාෆඩ්.","- Good evening, Dr. Harford.","- Good evening, Dr. Haffad."
වැඩක් නැහැ.,There's no use.,Don't worry.
चरण साइज घनत्व: फ्रेम चरणहरू द्वारा सामान्य १:१ फ्रेमका लागि १.० प्रयोग गर्नुहोस्। ०.५ को मानले प्रत्येक आगत फ्रेम २ पटक देखाउँछ। एउटा २.० को मानले हरेक दोस्रो आगत फ्रेम देखाउँछ,Stepsize density. Use 1.0 for normal 1:1 frame by frame steps. a value of 0.5 shows each input frame 2 times. a value of 2.0 shows only every 2nd input frame,Step Size Density: Use 1.0 for normal 1:1 frames by frame steps. A value of 0.5 shows each input frame 2 times. A value of 2.0 shows each second input frame
जगेडा राख्न असफल ।,backup failed.,Failed to backup.
පරිස්සමින් !,"- Careful, careful.",Careful!
- එයා හිතන්නේ මට∙∙,- What he thinks I should...,- He thinks I'm...
Mime වර්ගය@ label,Mime Type,Mime Type
"අඬන්න එපා, උදේ භායි ජීවත් වෙනව.","Be quiet, Uday bhai is alive.","Don't cry, he's alive in the morning."
हालै चयन गरिएको फोल्डरमा नयाँ सब- फोल्डर सिर्जना गर्नुहोस्,Create a new subfolder under the currently selected folder,Create a new subfolder in the currently selected folder
गलत तर्कहरू सङ्ख्यासँग '%s' को बोलावट ! (हुनुपर्ने %d),Call of '%s' with the wrong number of arguments! (should be %d),Calling '%s' with an incorrect number of arguments! (to be %d)
"නෑ, මතක නෑ.","No, I don't.","No, I don't remember."
ඔයා ඔය යන අතට දිගට යන්ඩ බෑ ඔයාට!,You can't keep going the way you've been going!,You can't go on like that!
ඔයා මට උදව් කරන්න එයාව හොයාගන්න.,You're going to help me find him.,You help me find him.
ඒක් රහස් පණිවිඩයක්.,It's a secret code.,It's a secret message.
"හරි, අපි සුදුසු රස්සාවකට මෙතන ඇබෑර්තුවක් ආවම...","Yes, well, we could file this and if something suitable opens up...","Okay, when we get a decent job here..."
नयाँ अस्पष्टता मान जहाँ ० चाहि पारदर्शी हो र १००.० अस्पष्ट हो,New opacity value where 0 is transparent and 100.0 is opaque,New opacity value where 0 is transparent and 100.0 is opaque
प्रणाली कन्फिगरेसन क्यास फेरि निर्माण गर्दछ ।,Rebuilds the system configuration cache.,Rebuilds system configuration cache.
"ඒකෙන් අදහස් වෙන්නෙ මොකක්ද? ඒකෙන් අදහස් වෙන්නෙ අපි මගෙ දත්ත විතරක් බාගත කරනවා, මයිකල්.","It means we will only be downloading my data, Michael.","It means we're only downloading my data, Michael."
ඉතින් ඔය හිතන්නේ මේකට හේතුව රටේ කෙනෙක්මයි ?,"So, you think this was homegrown?",So you think it's because of the country?
"මම හිතන්නෙ ඔයා නියමයි, කිට්.","I think you look great, KITT.","I think you're great, Keith."
ඔහේගෙ මෝඩ පරාජය නොවුනා නම් ඩොරති මෙලහකටත් මැරිලා.,Dorothy would be dead by now if it weren't for this abysmal failure.,"If it wasn't for your stupid defeat, Dorothy would be dead by now."
उल्टो विस्मय चिन्ह,inverted exclamation point,Reverse Surprise Symbol
"මං ඒ දේ සොයාගත්තා, විස්වාස කරන්නත් අමාරුයි.",I find it hard to believe.,"I found that thing, hard to believe."
කොහොමත් ඔයා අද වැඩකරන්න ඕනෙ නෑ,"Obviously, I don't want you working today.",You don't have to work today anyway.
"""මාව රස්තියාදු කරවන්නට එපා... කළොත් මම ඔයාට වේදනා දෙනව.""","""Don't keep me waiting... or I'll make you suffer.""","""Don't make me cry... or I'll hurt you."""
"ෆොල්සන් බෙලික්ට ඊයේ ගෙවලා, ඉතින් දැන් අපිට හොදයි.","Falzone paid Bellick yesterday, so we're good for now.","Folson Bellick was paid yesterday, so we're good now."
"හායි, අපි අද උදේ මුණගැහුණේ.","Hi, we met this morning.","Hi, we met this morning."
දැනට... . ...ආයුධයක් මවාගන්න.,"For now, conjure a weapon.","For now, imagine a weapon."
මේ උඹේ කෙල්ලද?,is that your girlfriend?,Is this your girl?
එයා තනියම!,He's alone!,He's alone!
මම එ ගැන කියෙව්වා,- I've seen the possiblity.,I read about it.
रेखा फ्रेम देखाउनुहोस्,Show Line Frame,Show Line Frame
මම තවත් ඉස්සර හිටපු කෙනා නෙවෙයි.,I'm not that guy anymore.,I'm not who I used to be.
එයා හිටියෙ හිරෝ නම් එයා කොහොමද ගිනි තියන්නේ,"If he was locked up, how could he start the fire?","If he was a hero, how could he be on fire?"
මම දන්නවා කොහොමද කරන්නෙ කියලා.,I know what I'm doing.,I know how to do it.
මොකද අර වචන ටික ඇරෙන්න වෙන ඒවා කියන්නේ නැත්තේ?,Won't he speak anything other than this?,Why don't you just say the words?
ඔහු ඔවුන්ව මැඩපවත්වන්නයි යන්නේ.,He's gonna crush 'em.,He's going to crush them.
"හරි, කතාවක් අහන්න ඕනේ ද?",All right. Want to hear a story?,"Okay, do you want to hear a story?"
ඒක රිදෙනව!,They hurt!,It hurts!
මොනවාද ඔයා කරේ ?,What did you do?,What have you done?
"එයා එච්චර නරක නම්, ඇයි අපි වෙනුවෙන් පොලීසියට බාර වුනේ?","If he's such a bad guy, why'd he take the fall for us?","If he was so bad, why would he turn himself in for us?"
"මම කිව්වෙ, ඒක මහ විකාරයක් නේද?","I mean, isn't that odd?","I mean, it's ridiculous, isn't it?"
"සර්, විද්‍යයා ගාරයෙන් ලැබුනු තොරතුරු වලින් හෙලිවුනා, ඔවුන් ආරක්ෂකයින් දෙදෙනාට මැඩ්සෝ ලෑම් බෙහෙත එන්නත් කරලා තියෙනවා කියලා","Sir, according to this lab report the security guards were injected with a sedative called Midazolam.","Sir, the information from the science center suggests that the two security guards have been vaccinated against Maddox Lam."
"හමේ දුඹුරු ලප තියන කොල්ලෙක්, දිග කොණ්ඩයක් තියන මහත ආසියානුවෙක්, නපුරු වඳුරෙක්.","Boy with freckles, fat Asian with hair extensions, evil monkey.","A boy with brown skin, a fat Asian with long hair, an evil monkey."
"තව, මට ලේ දකින්න නම් ඕනෙ නෑ.","Plus, I wouldn't want to see any of that blood.","Plus, I don't want to see the blood."
"♪ ""ටීචර් මට කුමක් උගන්වන්නද.."" ♪","""What can the teacher teach me?""","♪ ""Teacher teach me what.."" ♪"
කෙල්ලො මගේ බඳට කැමතියි.,"You know, girls really love my butt",Girls like my wedding.
අපි හැමදාම සතුටින් ජීවත් වේවි.,We'll live happy ever after,We'll live happily ever after.
खण्ड रङ,Segment Color,Section Color
"නෙක්බෝගේ මමා මේවා හොයාගෙන තියෙන්නෙ ගඟේ තිබිලා ඒ වගේම මුතු එකතු කලා, අනික මම හිතුවා ඔයාගේ නමත් ඒක වුන එකේ හැමදෙයක්ම... .","Neckbone's uncle finds them in the river and collects the pearls, and I thought with your name and everything...","Neckbow's mom found these in the river and collected the pearls, and I thought your name was all in it."
එයාලා මොනවද කැමලොට් වලට කරලා තියෙන්නෙ?,What have they done to Camelot?,What have they done to Camelot?
දැන් වට පිට අතපත ගගා බොරුවට හැසිරෙන්න හරියට ඔයා ඔයාගේ කණ්නාඩි හොයාගන්න හදනවා වගේ.,Now fumble around and pretend like you're trying to find your glasses.,Now go around and fake it like you're trying to find your glasses.
एशिया/ ओरल,Asia/ Oral,Asia/ Oral
दक्षिणी हङ्गेरीhungary_ regions. kgm,Northern Hungary,Southern Hungary
මට දල සංඥාවක් ලැබුනා ජාල 370න්. ඔයාට පේනවද මේක?,I've got a rogue signal in grid 370.,I got a signal on network 370.
එහෙනම් මම එක පටන් ගන්න කියල යේජනා කරනවා.,Then I suggest you get started.,Then I suggest starting it.
මම දැනටම බැලුවා !,- I already did!,I already saw it!
"එක්කො ඔහෙට ගණන මඟ හැරිලා, නැත්නම් ඔයාගෙ ඔලුව හොඳ නෑ.",You either lost the count or you lost your head.,"Either you missed the numbers, or your head's not good."
"සමහර දේවල්, සමහර සමහර දේවල්","Something something, something,","Some things, some things."
"ඔයා කියන තරම් මේ එලින් භයානකයි නම්,","Look, if this eiling is as dangerous as you say,","If this Elin is as dangerous as you say,"
එයාගෙ නම පීටර්.,His name is Peter.,His name is Peter.
"සුභ රාත්‍රියක්, දුවේ!","Sweet dreams, my love.","Good night, baby!"
ඒකට අපිට වචනයක් තියෙනවා ජැක්.,"We have a word for that, Jack.","We have a word for that, Jack."
"මතක තියාගන්න, මේක රාජකාරියක්, ප්‍රීතිවීමක් නෙවෙයි","Just remember, this is business, not pleasure.","Remember, this is a duty, not a pleasure."
මම හිතන්වා ප්‍රධාන සංයුතියේ ලෙමන් තෙල් තියෙනවා කියලා.,"I believe the head chord contains lime oil,",I think the main ingredient is lemon oil.
- පාටිය තියෙනවා! - හේයි!,- The Party's on!,- There's a party!
"...හෝ, ඔහුය යථාර්කයේ අවබෝධය නැති කරගෙන?","Or, that he has lost his grip on reality?","...or, he's the one who's lost sight of reality?"
යමන්! යමන්!,"Go, go, go!","Come on, come on!"
හේ හේ හේ.,Heh heh heh.,"Hey, hey."
නැත්නම්... මොරියාටි-- ඇගේ නම මොකක් උනත්.,Moriarty-- whatever her name is.,Or... Moriarty-- whatever her name is.
"නමුත් ඇය මැරුණා නම්, අපේ සියලු වසරවල සමීක්ෂණ--","But if she dies, all our years of research--","But if she's dead, all our years of surveys--"
කවදා ඉදන්ද ඔයා ස්ෙකාච් බෝතලයක් එක්ක නිදාගන්න පටන් ගත්තේ ?,When did you start sleeping with a bottle of scotch by the bed?,When did you start sleeping with a bottle of scotch?
අපි අර මිනිස්සුන්ව මැරුවා.,We just killed those men.,We killed those people.
"මගේ ඇස් රතුවෙලා ඇති, එත් මට ඔයාගේ ෆෝන් නම්බරේ තාම කියවන්න පුළුවන්","My eyes may be red, but I can still read your caller I.D.","My eyes may be red, but I can still read your phone number."
දැනට ඇති කවුළුව වසන්න.,Close the current window.,Close the existing window.
මොනාද ඔයාට එපා?,You don't want what?,What do you want?
ඔයාට කරන්න තියෙන්නේ ක්‍රීඩාකරන එක විතරයි.,"All you got to do is, play it",All you have to do is play.
"නැහැ සර්, හැමදේකටම වඩා ඒක සංකීර්ණයි.","No, sir. The truth is it be much simpler than all that.","No, sir, it's more complicated than anything."
ඒකට හැමොම කැමති වෙයි?,"How about thumbs up, huh?",Would everyone like that?
පපුවේ රෝම ඇත්තවුන්ගේ තරගය පටන් ගන්නයි යන්නේ.,Oh! The hairy chest competition is about to begin.,The contest of the Romans in the chest is about to begin.
"මට ලිහාගන්න පුළුවන් උනා, ඒත් ඊටපස්සෙ...","I managed to get free, but then...","I could have slipped, but then..."
D'Antonio මහත්මයා ?,Mr. D'Antonio.,Mr. D'Antonio?
මේ Wing Chin!,This is Wing Chung!,This is Wing Chin!
"මයිකල් ජේ ෆොක්ස් මිනිහාට උදව් කරනවානම්, මම උනත් ඔහුට ඡන්දය දෙනවා.","If Michael J. Fox endorses him, then I'll vote for him.","If Michael J. Fox helps him, I'll vote for him too."
එයාගෙ තාත්තා තමයි මාව මේකට යෙදෙව්වෙ.,His father hired me to help him stay clean.,His father hired me.
ඒක මෙතන තියෙන්න ඕනේ!,It's gotta be here. Where is it?,It should be here!
මං කාටද කථා කරන්නෙ?,Who am I talking to?,Who am I talking to?
නියමයි.. ඒක නියමයි!,Yeah... it's great!,"Great, that's great!"
දරුව නිදි.,The child is sleeping.,The baby's asleep.
ඉක්මනින් යන්න මෙතනින් !,Get out fast! Come on!,Get out of here!
"අහන්න, මට සෑහෙන සන්ධ්‍යාවක් ඉතුරු වෙලා තියෙනවා. ඉතින් ඔයාල කරන්න යන දේ කරලා දාන්න.","Listen, I got a pretty full afternoon, so whatever you're gonna do, just do it.","Listen, I have a long evening left, so do what you're about to do."
B සැලසුම.,No other options?,Plan B.
ඔයා ඉන්නෙ දුකින් වුනත්,I just... Thought you looked sad.,Even if you're sad.
වෙනස්කිරීම් යතුර අගුළු දමා ඇතComment,A modifier key has been locked,Modification key locked
මේක හිරගේ ලෝකේ නරකම අපාය වෙන්න හේතුවක් තියෙනවා.,There's a reason why this prison were a hell on earth.,There's a reason this is the worst hell in the prison world.
"निर्गत फाइल खोल्न असक्षम, सट्टामा% 1 प्रयोग गर्दैछ ।","Unable to open output file, using %1 instead.","Unable to open the output file, instead using %1."
कुनै उदाउने समय छैन: सर्कमपोलर,No rise time: Circumpolar,No rising time: Circumpolar
ජැටිය වහලා තියෙන්නෙ.,The pier is closed.,JAT is closed.
"ඩොක්ටර් වෙල්ස්, අන්තිමේට අපි මුණගැහුනා.","Dr. Wells, we meet at last.","Dr. Wells, we finally met."
මාව බිමින් තියනවලා!,- Put me down!,Put me down!
මම Schiaparelli ආවාටයක් යාමට ගැන මම,I'm about to leave for the Schiaparelli crater where I'm gonna commandeer the Ares 4 Lander.,I'm going to Schiaparelli Cave.
මම කම්පනයක් ඇති කරගන්න ඕනි නම්.. එතකොට එයා ජිවත් වෙනවාද කියලා ඔයාට දැනගන්න පුලුවන් වෙන නිසා..,If you ever need me to Vibe... so you can know if she's still alive...,If I have to cause a shock so you can know if he's alive...
"කලින් සූදානම් වෙලා , පළමු හිරු උදාවෙන්ම ගමන් ආරම්භකරනවා .",The HMS Providence sets sail at first light.,"Prepare in advance, launch at first sunrise."
මගේ කණගාටුව පිළිගන්න.,Please accept my apologies.,Accept my apology.
AI खेलाडीको सङ्ख्या ।,Number of AI players.,Number of AI players.
උබ පොට්ට වෙලාද?,Are you blind?,Are you crazy?
හැර දමන ලද්ද '%s',Exception '%s',Abandoned '%s'
උන් මේ තැන දුවිලි බවට පත් කරාවි.,And they won't stop until they find me. They'll turn this place to dust.,They'll turn this place into dust.
खाली ठाउँ भर्नुहोस् प्रश्नका लागि जवाफले खाली देखाइरहेको छ,The answer showing blanks for a Fill-in-the-blank question,The answer to the fill-in question is showing a blank
මම ඇයව ගෙදර යැව්වා.,I sent her home.,I sent her home.
"අපි මෙතනට ආවේ මොකද අපි විශ්වාස කරනවා, අපි දන්නවා මේ ලෝකය අන්ධකාරයේ භයානක වෙලා තියෙන්නේ කියලා.","We're here because we believe, because we know the world is evil and darkness.","We're here because we believe, we know that this world is dangerous in the dark."
"හදල වැඩක් නැහැ ඔහුගේ හිස, හරියට ඇගිල්ලක කොනක් වගේ?",Doesn't it make his head look like the tip of a penis?,"No use his head, like a corner of a finger?"
ඔයා ඕක මට ආපහු හෙට දෙන්න.,You can give it back tomorrow.,You give it back to me tomorrow.
-මම හිතුවේ ඔයා පූසන්ට ආස කෙනෙක් කියලනේ.,- I'd taken you more for a cat person.,- I thought you liked cats.
පොඩ්ඩක් අතෙන්ට යන්න.,"Just out of the way, over there.",Give me a hand.
ඔයා කුළුබඩු නැතුව හොදි හැදුවොත් කොහොමද එක රසවෙන්නේයි පුලුවන් වෙන්නේ තාත්තේ?,"If you make a gravy without adding any spices how will it be tasty or edible, dad?","How can you taste it if you're good without spices, Dad?"
