source,reference,hypothesis
අහ් යාන්ත්‍රික ඒවට ඇතුල් වෙන්න බැහැ.,Uh. Mechanical are lockdown.,Μηχανικά δεν μπορούν να εισέλθουν.
මම එතකොට ඔයාව දකින්නම්.,I'll see you then.,Uvidíme se pak.
पाना फिडर,Sheet Feeder,पाना फिडर
මොකද්ද ප්ලාන් එක ?,What plan?,ما هي الخطة ؟
ඌ මෙතන නැහැ. ඌ මෙතනත් නැහැ.,"He's not here, and he's not here.",Nie ma go tutaj.
දෙයියනේ පැනපං.,"God damn it, over shot it.","Θεέ μου, φύγε."
මම හදවතට අනින් නම් හොද මරනයක් ලබන්නට. ඔබේ අශ්වයන්ට පමණක් ඇහෙන්න් කහින්න.,A spear through the heart's a better way to die than coughing up your last with no one but your horses to hear.,"Dacă vrei să mori cu sufletul meu, dă-i drumul doar cailor tăi."
පසුතැවෙමි.. හදවතින් හඬමි.,"I regret, even this heart mourns.",Μετά βγαίνω... φωνάζω από την καρδιά μου.
එය ඔබේ හඬ හඳුනාගන්නගෙන ඒ සඳහා ප්රතික්රියා කරයි.,"So, it recognizes your voice and then adjusts itself accordingly.",Îţi recunoaşte vocea şi reacţionează la ea.
ආලෝකය යන්න එපා.,Don't get in the light.,Işığı söndürmeyin.
"GDA लाइब्रेरी पुन-सुरुआत गर्ने प्रयास, उपेक्षा गरियो।",Ignoring attempt to re-initialize GDA library.,ਜੀਡੀਏ ਲਾਇਬ੍ਰੇਰੀ ਨੂੰ ਮੁੜ ਚਾਲੂ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਨੂੰ ਨਜ਼ਰ ਅੰਦਾਜ਼ ਕਰ ਦਿੱਤਾ ਗਿਆ।
එයාලා කියනවා එයාල දැන් දේවල් බලාගන්නවා කියකා,They said they were in charge now.,Ils disent qu' ils s'occupent des choses maintenant.
"ඔයාට! අපි ගැන විශ්වාසය තියන්න පුළුවන්, සර්.","You can count on us, sir.","U kunt ons vertrouwen, meneer."
"""% 1"" खोल्न सकेन - ग्राफिक्स स्मृति बाहिर ।","Could not open ""%1"" - out of graphics memory.","""% 1"" खोलने में असमर्थ - ग्राफिक्स स्मृति से बाहर ."
මම ඔයාට අනතුරු ඇඟෙව්වෙ නෑ කියන්න එපා,Don't tell me I didn't warn you,Te-am avertizat să nu spui.
"- ලෑස්තියි! අපේ ස්වාමියා විදිහට අපට සමාවෙන්න, ඔබතුමා දිනුවා!",Whose fiddle is trivial?,"Ca stăpânul nostru, ne iertaţi, Domnul a câştigat!"
बाटोमा पाठlayers-action,Text to _Path,मार्गमा पाठlayers-action
"පොඩ්ඩක් අහනවකෝ මම.. - මම කතා කරනවනේ, එයා මාත් එක්ක විහිලු කරනවා..","Its okay, he is joking with me...","- Estoy hablando, él está bromeando conmigo."
වෙනස් කිරීම් ඉවත දමන්න,_Discard changes,परिवर्तन हटाएँ
रियोनेग्रोल/J. M. कोर्डोभा,Rionegro/J. M. Cordova,रियोनेग्रोल/जे.एम. कोर्डोभा
"එත් ඔයා සුත්ත්‍රය දන්නවනම්, ඔයාට පුළුවන් පාස්වර්ඩ් එක අනුමාන කරන්න","But if you know the algorithm, you can predict the code.","Pero si conoces el código, puedes adivinar la contraseña."
මම සීලියාට පොරොන්දු වුණා.,I promised Celia.,I-am promis lui Celia.
ඒක ඉස්සර කරන්න,Over take them.,Fă-o înainte.
"ඔයා දන්නවනෙ ඒක අපිට කවදාවත් ඇත්තටම අවස්ථාවක් ලැබුනෙ ඔයාගෙ ""Dallas"" වල ළමා කාලය ගැන කතා කරන්න, ඔයා ""Atlanta"" වලට එන්න කලින්.","You know that we never really got a chance to talk about your childhood in Dallas, before you moved to Atlanta.",Atlanta'ya gelmeden önce Dallas'taki çocukluğundan bahsetme şansımız olmadı.
"ඔව්, එයින් හැමදෙයම වෙනස්වෙනවා.","Yeah, which changed everything.","Da, asta schimbă totul."
-ඒක සමාගමට හොද ලාබාංශයක් නෙවෙයි.,-isn't in the company's best interest.,- No es un buen beneficio para la compañía.
ब्याख्या गर्नुहोस्,& Annotate A,विवरण दें
මගේ දෙමව්පියෝ අපේ කාමරයට කඩා නොපනිනතාක්...,As long as my parents don't burst into our bedroom...,Părinţii mei au intrat în camera noastră până când n-am văzut...
ඔහුට වැදිලා.,He has been hit.,El a fost înnebunit.
"මේ අවසන් විනිශ්චයේ දවසයි, ජිම්.","So what? It's Judgment Day, Jim.","Ez az utolsó ítélet napja, Jim."
- ඒක තියන්න එතනින්.,- Put that down.,- Lasă-l acolo.
උච්ච ප්‍රභේදනය,High Contrast,ऊष्मा प्रवर्तन
तपाईँ एउटा पहिचायकका रूपमा पोभरे सञ्चित शब्द प्रयोग गर्न सक्नुहुन्न!,You can not use a povray reserved word as an identifier.,आप एक पहचानकर्ता के रूप में पूरी तरह से संचित शब्द का उपयोग नहीं कर सकते!
මම බිම හිටියේ මටසොරසොර සද්දේ තමයි ඇහුනේ∙,I was on the ground. All I could hear was static.,Ήμουν στο πάτωμα και άκουσα τον ήχο μου.
ඔයත් මිස් Venediktov.,"You, too, Miss Venediktov.",Sen de Bayan Venediktov.
ගිහින් වෙන කාටහරි කරදර කරනව!,Go away! And... bother somebody else.,Du-te şi deranjează pe altcineva!
मुद्रण गर्दा पृष्ठहरूको उल्टो क्रम,Reverse order of pages when printing,मुद्रण करते समय पृष्ठों का उल्टा क्रम
මෙන්න සාදයක් දාන්න අජය නැවතත් පන්දුව දමනවා..,"Ajay back in the bowling attack, and the result is the same.",Να βάλουμε ένα πάρτι. Αγία θα ξαναπαίξει.
කරුණාකර දැන්මම.,"Now, please.","Te rog, acum."
"හරි, හරි.","- OK, OK.",حسناً، حسناً
ඒ වගේම මේ වගේ ලොකු ගාණක් දුන්නොත්,And if I ever had to give such a huge amount,Şi dacă-ţi dai o sumă mare ca asta...
"අර මිනිමරුවා, ගැනියෙක්ද?",- This tag killer. - It's a woman?,"Αυτός ο δολοφόνος, είναι γιατρός;"
"ඒ නිසා මම ඔයාව පොඩ්ඩකට ප්‍රදේශයෙන් ඉවත් කරනව, ඔයාව රඳවල තියනව.","So I'm going to pull you off the field for a beat, put you on the bench.","Γι' αυτό σε απομακρύνω για λίγο από την περιοχή, σε κρατάω."
ඔයා නම් මේ ඇත්තටම ෙවන්න බැ,You can't possibly be serious.,"Dacă eşti în realitate, nu poţi fi."
"ඔයා මොනාකරත්, වතුරට බහින්න එපා!","Whatever you do, do not enter the water!","Dacă faci ceva, nu ieşi în apă!"
මම ඒ සැලැස්ම පොඩ්ඩක් වෙනස් කලා.,I just slightly changed that exit plan.,Am schimbat planul puţin.
ස්වභාවධර්මයට ආදරෙයිලු හැබැයි වැස්සක් එනකොට දුවනවා.,Come. You love nature but running away from rain.,Αγαπάω τη φύση αλλά τρέχω όταν πλησιάζει η βροχή.
එතකොට එයා හිටියේ හරියටම මෙතන වගේ.,"Right when he was about, like, here.",Entonces él estaba exactamente como aquí.
- ඔයා දැන් මොකක් ගොතන්න හැදුවත් මට වෙලාව නෑ ඕකට...,I don't have time for whatever new fiction - you're trying to...,"- Încerci să faci ceva, dar nu am timp..."
අපි ඒකට විරුද්ධයි.,-Denial. -Aah!,Biz buna karşıyız.
ඔයා මොනවද පහලට වෙලා කරන්නේ ජේන්?,"So, what are you doing down here, John?","¿Qué haces abajo, Jane?"
කවුද මේ?,Who goes there?,Cine e asta?
हस्ताक्षर कन्फिगरेसन,Signature State Icon,हस्ताक्षर कॉन्फिगरेशन
ඔහු ගොඩක් කැමතියි අර ඉස්සරහා තියෙන බැංකුවේ මගතේ එක්ක ඉදගෙන ඉන්න,He likes to sit with me on the bench out on the front lawn.,Του αρέσει να κάθεται με τον παππού του στην τράπεζα μπροστά .
ඔයා දවස් හතිලිහක් බලන් හිටියද කතා කරන්න?,You been waiting 40 days to talk?,Ai aşteptat şapte zile să vorbeşti?
"බලන්න, මට...",Could I possibly..?,"Nézd, én..."
"ඔහ්, අමරණීයත්වයේ ස්වරූප ගණනාවක් තියෙනවා.",Oh they're many forms of immortality.,Υπάρχουν πολλές μορφές αθανασίας.
केडीई मेल प्रश्न,KMail Question,केडीई मेल प्रश्न
"අනිවාර්‍යයෙන්ම මම දන්නෙ නෑ , නමුත් මට ඕනි ඒව ඔක්කොම හැමදෙනාටම එකවගේ වෙන්න .","Sure I do, but I want 'em to be the same for everybody.","Claro que no lo sé , pero quiero que sean iguales para todos ."
मोटर समस्या - यन्त्र खोल्नुहोस्,Motor Difficulties - switch devices,मोटर समस्या - यंत्र खोलें
එයා ගොඩක් දිලිසෙනවා.,He's just so sparkly.,Είναι πολύ λυπημένος.
- දර්ශනය කපන්න.,- Cut.,- Κόψτε την οπτική.
මේක පැහැදිලිවම මේ විභාගේ එක කොටසක්.,It's obviously a part of the test.,To oczywiście część egzaminu.
ඔයාට කියන්න පුජක තුමනි.,"Now what do I tell you, Priest.","Να σας πω, ιερέα."
අනිත් කිසිම කෙනෙක් පාවිච්චි කරපු කිසිම දෙයක් පාවිච්චි කරන්න මම කැමති නෑ ...,I don't like to use anything what others have used..,Nu vreau să folosesc ceva ce altcineva a folosit ...
. පටන්ගැන්ම.,Oh... intro.,Başlangıçta.
सन्निबेश गरिएको अवयव,embedded component,संनिबेश किए गए अवयव
මම චෙක් කර කර හිටියේ Dan Young එක්ක.,I was checking with Dan Young from Maintenance.,Am verificat cu Dan Young.
यसका लागि छुटेको गुप्तिकरण कुञ्जी:% 1,Missing encryption key(s) for: %1,इसके लिए छुटेको गुप्तीकरण कुंजीः% 1
इस्ले अफ म्यान,Isle of Man,म्यान का द्वीप
පැටලුනා මේ මිනිහා එක්ක.,Hooked up with this guy.,Πατάλουνα με αυτόν τον άνθρωπο.
ඇය ඔයාට සහය දක්වනවා.,She corroborated your story.,Ea te sprijină.
...මොකද මිස්ටර් නයිටිංගේල් පිට වුනු විදියේ...,... becausetherewassomething a little strange...,...γιατί ο κύριος Νάιτινγκγκελ βγήκε...
පනිවිඩයක් තියෙනවාද ?,He can't talk.,هل لديك رسالة ؟
"මෙම අභිප්‍රේතය සක්‍රීය විට සියළු ධන මූල්‍ය අගයන් ඉදිරියෙන් දැක්වෙනු ඇත (අගයට වම් පසින්) එසේ නොවේනම්, එය පසුපසට (දකුණට) පැමිණේ.","If this option is checked, the currency sign will be prefixed (i. e. to the left of the value) for all positive monetary values. If not, it will be postfixed (i. e. to the right).",जब यह अभियान सक्रिय होगा तो सभी संपत्तियों के मौद्रिक मूल्यों को आगे दिखाया जाएगा (අගයට වම් පසින්) अन्यथा यह පසු පසු පසු (दाएं) में आएगा।
මට මගෙ අම්ම තාත්ත මතක් වෙනව මං නින්දට ගියාම.,I remember my parents when I sleep.,Θυμάμαι τον πατέρα μου όταν κοιμάμαι.
XDMCP अक्षम गरिएको छैन,XDMCP is not enabled,XDMCP अक्षम नहीं किया गया
- මම දන්නේ නැ∙,- l don't know.,- Bilmiyorum.
पार्श्वचित्रको बहन ।,Load profile,Η αδερφή του παρενόχλητου .
පසුබිම නියමයි මෙතන ගන්න එක ෙහාදයි.,"Background is fantastic, let's shoot here.",Το παρελθόν είναι υπέροχο και είναι ωραίο να το πάρεις εδώ.
ඔය කියන ආවරණය කොච්චර විශාලද?,"This dome thing, how big is it?",Cât de mare este acoperirea pe care o spui?
මේක අපේ ත්‍රිමාන අවකාශයට වඩා වැඩි දෙයක්.,Its space beyond our 3 dimensions.,E mai mult decât spaţiul nostru tridimensional.
මං ආපහු ආවා.,I'm back.,Ben geri döndüm.
ඒක ගොඩක් ලස්සනයි.,It's really pretty.,Είναι πολύ όμορφο.
වාත අවකාශය හරි D.C.සත්තුවත්ත හරි ?,Air and Space or the D.C. Zoo?,"Ο αέρας είναι εντάξει στην Ουάσινγκτον , εντάξει;"
ඔය බෑග් එක දාලා යන්න.,Leave the bag.,Lasă geanta aia şi pleacă.
ඉතින් අපි කොහෙන්ද මෙයාලව හොයාගන්නේ?,So where are we gonna pick up these men?,"Entonces, ¿dónde los encontraremos?"
- වාහනයක් වගේද?,Some kind of vehicle?,- Ca un vehicul?
ඔයා යන්න හරි.,You go. - Okay.,Trebuie să pleci.
ඔයාගේ දුව කලා වගේ නගරයට උදව් කරන්න.,To help the city as your daughter did.,Βοήθησέ την πόλη όπως έκανε η κόρη σου.
මේ ජාගන් කියන කෙනා..,- This guy Jurgen.,"Този, който се казва Джаган.."
නියම මනුස්සයෙක් වගේ,Like a man-cave! It'll be fun.,Ca un om minunat.
මගේ පවුල ගැන එක වචනයක් කියන්න එපා මාත් එක්ක එන්න.,Don't utter a word about my family,No digas ni una palabra de mi familia. Ven conmigo.
यो भेक्टरद्वारा आधा- रेखा रचना गर्नुहोस्,Construct a half-line by this vector,यो वेक्टर द्वारा आधा रेखा रचना करें
ඔයා දඟයා...,yöu naughty...,Ai spus...
ජෙනිස් ඔයා නවත්තන්නේ නැත්තං.,"- Janice, if you don't stop,","Дженис, ако не спреш."
ඇය හරිම දක්ෂ කෙනෙක්.,She is a legend.,Ella es muy talentosa.
මම මේක පාවිච්චිකරපු බඩු තියෙන කඩේක තියෙනවා දැක්කා.,I saw this in a secondhand store.,He visto esto en una tienda de artículos usados.
ඕවට අත තියන්න එපා.,Don't touch those.,Nu pune mâna pe asta.
- අරගත්තා.,- I took it.,- Am luat-o.
තව විනාඩි 12 යි.,12 minutes out.,Още 12 минути.
BMP को रूपमा बचत गर्नुहोस्,Save as BMP,BMP ретінде сақтау
ඇයත් ඔයා කීව කෙල්ල වගේමයි.,I speak the truth!,Ella es como la chica que dijiste.
दिइएको फिल्ड वा अभिव्यक्तिका लागि मापदण्ड वर्णन गर्दछ ।,Describes the criteria for a given field or expression.,दिए गए फ़ील्ड या अभिव्यक्ति के लिए मापदंडों का वर्णन करता है।
प्रमाणपत्र प्रबन्धक सुरुआत गर्न सकेन; कृपया तपाईँको स्थापना जाँच गर्नुहोस् ।,Could not start certificate manager; please check your installation.,Sertifikat menejeri ishga tushirilmadi; iltimos oʻrnatishni tekshiring .
මම නම් එයාල ගැන වද වෙන්නේ නැහැ.,I wouldn't bother with them.,Nu-mi fac griji pentru ei.
අර වයසක මිනිහට වෙඩි තිබ්බ ... ...මැරෙන්න දගලපු තැනම.,Before that old man outside wakes up and spills his guts out.,Bătrânul ăla a fost împuşcat şi a murit chiar acolo.
"සාමාන්‍ය මිනිස්සු, පිරිමි, කාන්තාවො, ළමුන් පවා මියගිය නමුත් දෙවැනි ජිවිතයට හුවමාරුවක් ලෙස රැකවලා වෙනුවෙන් හැමදාම මරන්න එකඟවුන අය.","Ordinary people, men, women, even children who have died but agreed to kill for the Keeper every day in exchange for a second life.","Oamenii obişnuiţi, bărbaţi, femei, chiar şi copii, care au murit, dar care au fost de acord să moară în fiecare zi pentru a-şi proteja viaţa, în schimbul unei vieţi a doua."
අපූරු අත්දැකීමක් වෙන්න ඇතිනේ ...,It's okay if you need to take a nap or something.,Trebuie să fie o experienţă extraordinară .
- අපි මේ යන ගමන්.,We're on the move.,- Suntem în drum.
"- ඒක හරි, බෑ, මොලකාරයෝ.","- That's right. No, genius.","- Είναι εντάξει, όχι, ηλίθιοι."
තිරිඟු අවුරුදු 7 කට කලින්.,"Wheat, seven years ago.",Τρίσιγγου πριν από 7 χρόνια.
ඒක වගකීමක් නෙමේ. ඔයා හිතන්නේ ග්‍රෙග් මට බොරු කියයි කියලද?,You think Greg would lie to me?,Denk je dat Greg tegen me liegt?
මොනවද කන්න කැමතියි,What would you like to eat?,Ce vrei să mănânci ?
අපි අනික් ආකාශ මිනිස්සුන්ටත් උගන්වන්න හැදුවා.,We have tried to teach other sky people.,Προσπαθήσαμε να διδάξουμε και τους άλλους ουρανούς ανθρώπους.
पुस्तकचिनो खोज्ने वरिपरि बेर्नुहोस्,Wrap bookmarks search around,किताबों की खोज करने के लिए चारों ओर बैठें
ඒක විහිලුවක් නෙමේනේ.,It's not funny.,Δεν είναι αστείο.
මම එයාලට මගේ ජීවිතය කැප කළා එත්...,"I've tried to get them to most of my life, but...",Hayatımı onlara adadım ama...
"හායි, මේ එමිලි කතාකරන්නෙ.","Hi, this is emily.","Γεια σου, μιλάει η Έμιλι."
ඒ සල්ලි අරගෙන එළියට එන එක කරන්න බැරි දෙයක්.,It is impossible to walk out with that money.,Είναι αδύνατον να βγεις με τα λεφτά.
"zcir <classgt; <instancegt; <recipientgt;: <class,instance,recipientgt; मा सन्देश पठाउनुहोस्","zcir <classgt; <instancegt; <recipientgt;: Send a message to <class,instance,recipientgt;","zcir <classgt; <instancegt; <recipientgt;: <class,instance,recipientgt; मा संदेश भेजें"
මාව පේන්නෙ මට ලැප් එකක් තියෙනව වගේද?,I look like I have a fucking laptop?,"Vypadám, jako bych měl laptop?"
අපි බොරුවක් කලා අම්මා,"We lied, Ma.","Am minţit , mamă ."
"ඕවර් වොච්, මේ හරි තැන කියලා විශ්වාසයිද?","Overwatch, are you sure this is the spot?","Overwatch, jste si jistá, že je to správné místo?"
මම දැනගෙන හිටියෙ නෑ ඔයා අලුත් ජංගම දුරකථනයක් ගත්ත කියල.,I didn't know you got a new cell phone.,"Nevěděl jsem, že máš nový mobil."
එයා තේරුම් ගනී මේව පරම්පරා වැඩ කියල .,That he understands the traditions ofthis family.,Il comprend que c' est un travail de génération .
(ඔබ හොඳින් ක්රියාත්මක!,"Oh, I don't feel so good, Christian.",(Είστε καλά σε λειτουργία!
අපි ඊලඟ සතියේ ඩොලර් ලක්ෂ 4ක් දාන්නයි ඉන්නෙ.,We're gonna put down 400 grand next week.,Vom pune 4 milioane de dolari săptămâna viitoare.
एउटा रूपरेखा समूह थप्नुहोस्,Add an outline group,एक रूपरेखा समूह जोड़ें
"ගුස්ටූ ගේ අවන්හල තමයි පැරිසියේ සව්දිය පිරීම, මාස 5කට කලින් වෙන් කරවන්න ඕනා.","Gusteau's restaurant is the toast of Paris, booked five months in advance.",Το εστιατόριο του Γκουστάου είναι το πιο γεμάτο σελίδιο του Παρισιού. Πρέπει να το κλείσω πριν από 5 μήνες.
පෙළ ගොනුව,Text file,पाठ फ़ाइल
සංචාරකයෙක් ඇවිත් ගිහින්ද?,A nomad passing through?,A venit şi a plecat un turist?
- ඔයාට තේරුණාද?,- You understand?,- Anladın mı?
මම දන්නෙ ඊලඟ දේ කියලා.,I just know that it's the next thing.,Ştiu ce urmează.
"හරි, බලන්න, මම...","Okay, look, I...","Bine, uite, eu..."
උඩතට්ටුවේ ඔයාගෙ ළමයි ඉන්නව.,You got the kids upstairs.,Yukarıda çocukların var.
- ඔයා කොහොමද පිශාචයන්ගෙන් බේරිලා ආවෙ?,How on earth did you get past the goblins?,- Cum ai scăpat de nebuni?
नभरिएको त्रिभुज,Unfilled Triangle,नवनिर्मित त्रिकोण
සමන්තා ඔයා අමාරු තැනකට දැම්මේ.,Samantha put you in a tough spot.,Samantha te-a pus într-un loc dificil.
මට මිලියන 100ක් නැතිවුනා ඔයා ගැන විශ්වාස තියලා කොටස්වල ආයේජනයනේ.,I lost a 100 million for believing you and investing in shares.,Έχασα 100 εκατομμύρια έχοντας εμπιστοσύνη σε σένα για την επανάσταση των μετοχών.
ඔයාගේ ඔත්තුකරු දඩයමේ අපේ තත්වේ මෙහෙමයි.,Here's where we are on your mole-hunt.,Asta e situaţia noastră în vânătoarea ta de spioni.
-නෑ.මං එහෙම කිව්වෙ නෑ.,"- No, I don't.","- Όχι, δεν το είπα."
මට ටිකක් සාමාන්‍ය වෙන්න ඕනේ උනා.,I needed a little normal.,Ήθελα να είμαι λίγο φυσιολογικός.
අපි ඉලක්කයට ළඟාවෙනවා,We're getting close,Ne apropiem de ţintă .
ඒ ගැන හිතුවේ නැහැ.,Never really thought about it.,Δεν το σκέφτηκα.
"ඔව්, මම දන්නවා.","- Doughnuts. Yeah, I know.","Ναι, το ξέρω."
- මම දැනටත් උත්සාහ කරල බලලයි තියෙන්නෙ.,- I've already tried.,- Už jsem to zkoušel.
मार्क डब्लु. वेब,Mark W. Webb,मार्क डब्ल्यू. वेब
මෙහෙන් යන්න ඕන්නම් වාහනෙන් වාඩි වෙන්න.,"If you want to get out of here, sit in the car.",Φύγε από εδώ. Πρέπει να κάτσουμε στο αυτοκίνητο.
ඔයාගෙ සහෝදරයා ඉස්පිරිතාලෙ මැරුනාම අපිට විනිච්‍ය කරන්න බැරිවුනා..,"When your brother was killed in hospital, we couldn't judge that lion is on prowl.","Cuando tu hermano murió en el hospital, no pudimos juzgar."
මගෙ ලේ එනව!,I'm bleeding! -Drop your weapon!,Sângele meu vine!
"මම කිව්වේ, මම මධ්‍යම රහස් ඔත්තු සේවයට බැඳෙන්නන්ට උගන්වන එක නැවැත්තුවට පස්සෙ","I mean, when I gave up teaching to join the CIA","Adică, am încetat să-i învăţ pe cei de la Serviciul Secret Central."
"මං එංගලන්තයේ ස්කෝලේ ගමන නවත්තල මොහ් ආවා , FBI එකෙන් මාව බදවගත්තා.","I went off to school in England. I came back, got recruited by the Bureau.",Ήρθα στο σχολείο στην Αγγλία και με προσέλαβε το FBI.
කෝ ලයිසන් එක?,Where is your license?,Πού είναι η άδεια;
"-ඉන්න,ඒත් එයා--","- Wait, but he's-","- Da, dar el..."
भण्डारण नगर्नुहोस्,Do Not Store,भण्डारण न करें
ඕඩර් කරපං.,Take the order.,Παρακαλούμε παραγγείλω.
मिचेल थलर,Michael Thaler,मिचेल थलर
"කර්න්ස්,මොටව්න් එන්න යමු.","Kerns, Motown, let's go!","Κέρνς, πρέπει να έρθουμε."
කොච්චර දුරක්ද?,How long?,Cât de departe?
ඇයි මෙහෙට එක්කන් ආවේ.,why did you bring me here?,De ce ai venit aici?
..ඒත් අපි දෙන්නම දන්නවා පිරිමි මොන වගේද කියලා.,... butI thinkwe bothknow what men are like.,Dar amândoi ştim cum sunt bărbaţii.
- ඔයාට කොහෙන්ද මේක හම්බවුනේ?,- Where did you get this?,- Bunu nereden buldun?
අන්න අර නිසා තමයි ඇයව ක්ෂේත්‍රයට ගේන්නෙ.,That's the reason why we bring her in the field.,Es por eso que la llevo al campo.
ඔයාට බඩගිනියිද?,You hungry?,Ţi-e foame?
ආයෙමත් ටොලීඩෝ වැඩක් වගේ නෙමී නේද?,"This isn't Toledo all over again, is it?",¿No es como un trabajo de Toledo otra vez?
- ඒක ක්‍රියාත්මක කරන්න.,"-Yes, sir. -Activate it.",- Fă-o să funcţioneze.
-තමුසේ එයාලට ඇතුලට එන්න කිව්වද?,LOKI: Did you ask them to come inside?,- İçeri gelmelerini söyledin mi?
මට දෙයක් හම්බවුණා!,Got something!,Am găsit ceva!
ඒකනෙ මගේ රස්සාව. ඇයි එයාගෙන් දෙවෙනි වතාවටත් ප්‍රශ්න කළේ?,Why was my kid being questioned a second time?,Es mi trabajo. ¿Por qué lo interrogaste por segunda vez?
ඕක කාර්මිකයෙක් ළඟට ගෙනියන්න බැරිද?,Can't you take that down to the mechanic?,¿No puedes llevarlo a un técnico?
මෙක පොඩි ‍වැඩි! අපිට ආශිර්වාද කරන්න අපිව හොදින් බලා ගන්න.,Too small! This is too small for me! I hate that guy!,Ne binecuvântează să avem grijă de noi.
ग्रिड रेखाको चौडाइ प्रविष्ट गर्नुहोस् ।,Enter the width of the grid lines.,ग्रिड रेखा की चौड़ाई दर्ज करें .
"අපි 3000ක් දුන්නොත් දේවි, කන්ඩාලා නෙමෙයි පටියාලා උනත් යන්න එන්නංලු.",Devi says she'll come if we pay 3000.,"Dacă-i dăm 3000 de dolari, o să plecăm."
ස්වයංක්‍රීය පරිලෝකනය නැවත පටන්ගැන්ම,Auto-restart scanning,ऑटोमेटिक परिलोचना पुनः आरंभ
ඒක ඇත්ත.,It is.,Είναι αλήθεια.
ඔයාගේ කොලර් එක..,Your co_BAR__BAR_ar..,Το κολάρο σου..
මොකෝ මේ වෙන්නේ? කඩේ වෙන කොහෙට හරි අරං යනවද?,You're moving out?,Ga je ergens anders naar de winkel?
අපිට උදව් ඕනා !,We need help!,Avem nevoie de ajutor !
- මොකක්ද අපිට ලැබුණේ?,What do we got here?,- Τι βρήκαμε;
මේකනම් විහිළුවක්.,That's ridiculous.,E o glumă.
මගේ පුංචි කෙල්ලව.,My little baby girl.,A kislányomat.
जगेडा फाइल नाममा थप्न प्रत्ययलाई प्रविष्ट गर्नुहोस् ।,Enter the suffix to append to the backup file names.,जगेडा फ़ाइल नाम में जोड़ने के लिए प्रत्ययलाई दर्ज करें .
අර්මාන් කොහොමද ශශීව දන්නෙ?,How did Armaan know...,"Arman, cum de știi?"
අද උදේ ගුවන් යානය නග්ගනකොට ඔයා ධාවන පථයෙ හිටියෙ නෑ නේද?,You weren't at the airstrip when the plane took off this morning?,¿No estabas en la pista cuando subió el vuelo esta mañana?
"ඔට්ටුයි ඔයාට, මං දිග සෙල්ලමක් දානවා...",I'm betting on the long play...,"Sana bahse girerim, uzun bir oyun oynayacağım..."
මම ආවේ හුගක් වෙලා සූදූ කෙලින්න.,But I intend on gambling for hours.,Llevo mucho tiempo aquí para jugar.
! මොකද උනේ!,What happened!,Co se stalo?
එයාට රේස් එකට ඉදිරිපත් වෙන්න දෙන්න බෑ.,She can't be allowed to race,No se puede dejar presentar en la carrera.
මතක පාලකය,Memory controller,स्मृति नियंत्रक
හෙලිකොප්ටරෙන් බහිනන හදන හාදය?,A guy hanging from the helicopter?,Tipul care pleacă din elicopter?
එකපාරක්වත් නැහැ.,Not once.,Nici măcar o dată.
- ඔයා බාත් රූම් එක ඉවර කළාද?,- You finish the bathroom?,- Tuvaletini bitirdin mi?
හරි.10th Mountain බලකාය සන්නාහ රථයට ආරක්ශාව සපයමින් අපිව මෙතනින් එහාට ගෙනියයි.,"Okay, 10th Mountain provides security for armor, walks us out of the hot zone.","Εντάξει, η 10η Βουνιακή Δυνάμωση μας έφερε από εδώ, παρέχοντας ασφάλεια στο οχήμα."
මට පුළුවන් ඒක කරන්න.,I can do that.,Já to zvládnu.
"මේ ලියුම් කවරයේ $10,000ක් තියෙනවා","There's almost $10,000 in this envelope.","En esta portada hay $10,000."
නැත්නම් මම සුභ මධ්‍යහනයක් කියන්නද?,Or should I say good afternoon?,Sau să-ţi spun un cuvânt bun?
ඒකට තමයි උඹව ඇතුලට ගන්නේ.,That's where you come in.,Γι' αυτό σε παίρνω μέσα.
ආ හරිනේ අංක.,"Oh, yeah. The numbers.","- Добре, скъпи."
අත තියන්න එපා ඇයට!,Don't touch her!,Nu-i pune mâna!
මට ෆාමසි එකක වැඩ කරන්න ඕන නෑ අම්මේ,"I don't really want to work at a pharmacy, Mom.","Nu vreau să lucrez la farmacie, mamă."
"ඇරොන්, අනේ එපා.","Aaron, please don't.","Арон, не се притеснявай."
- අපිට පුළුවන් කැම හොයන්න∙,- We can find food.,- Μπορούμε να βρούμε την κάμερα.
මේ රෑ ගැනද?,Is this about the other night?,Bu gece mi?
මම මුකුත් කළේ නෑ අම්මේ.,"Punk, I ought to beat- What the hell's the matter with you? - Huh?","Nu am făcut nimic, mamă."
- අඩි සලකුණු හොයන්න.,- Find the trail.,- Ψάξτε για ίχνη.
අපි කාලතරන කුටීරය ඇතුලතින් වහලයි තියෙන්නේ.,We're sealed inside the splinter chamber.,Suntem în interiorul camerei temporare.
මම ඔයාගේ බිරිද ගැන කියන්න දන්නේ නෑ.,I don`t know about your wife.,Δεν ξέρω τι να πω για τη γυναίκα σου.
ඒක විනාස කරන්න එපා.,DON'T RUIN IT.,Μην το καταστρέψεις.
मार्गदर्शन रेखा,Different header for the first page,मार्गदर्शन रेखा
එයා සමහරවිට දැනටමත් එයාගෙ ඇඳුමට හානිකරගෙන ඇති... ඒවගේම ඔයාගෙත්.,He's probably already ripped his safety suit... and yours.,Ίσως έχει ήδη καταστρέψει τα ρούχα του... και τα δικά σου.
