src,tgt,lang,source,src_tokens,tgt_tokens,len_ratio
"සීරීම් නෑ, minor tread wear.","No scratches, minor tread wear.",si,opus_ne_si_en_train.csv,5,5,1.0
අපි එකතු වෙලා සතුටු ඕනේ මචං. කරුණාකරලා?,"Can we enjoy ourselves a little bit, please?",si,opus_ne_si_en_train.csv,7,8,0.875
මට විචල්‍ය ගැන අමතක වුනා,I forgot about the variables.,si,opus_ne_si_en_train.csv,5,5,1.0
එයාගෙ තාත්ත නියෝජිතයෙක් වෙන කරුණ වගේ.,Like the fact that her father was an agent.,si,opus_ne_si_en_train.csv,6,9,0.6666666666666666
% 1 वस्तु,%1 Objects,ne,opus_ne_si_en_train.csv,3,2,1.5
ඒක ඇතලෙ ප්‍රධාන දූපත් සීයක විතර හොයලා බලන්න වෙනවා.,And inside that search area there are hundreds of islands and keys.,si,opus_ne_si_en_train.csv,9,12,0.75
එයාලා වලහව හොයන අයද?,Are they the ones looking for the bear?,si,opus_ne_si_en_train.csv,4,8,0.5
"සේරම හරි, සහෝදරයා.","- All right, brother.",si,opus_ne_si_en_train.csv,3,4,0.75
ඉස්සරහට යන්න.,Move forward.,si,opus_ne_si_en_train.csv,2,2,1.0
"ආරක්ශක දත්ත බාරදෙන්න යන්නේ , අලුත් පරීක්ශණ කණ්ඩායමකට.",Supposed to hand off the security feeds to the new team of investigators.,si,opus_ne_si_en_train.csv,8,13,0.6153846153846154
-දකින්න ලැබීම සතුටක් ඔයාව.,- Good to see you.,si,opus_ne_si_en_train.csv,4,5,0.8
"ටැමි , ඔයයි මමයි ගිහින් පිගන් හේදුවොත් මොකද","Hey listen, I got an idea.",si,opus_ne_si_en_train.csv,8,6,1.3333333333333333
"""තෝරන ලද තැනැත්තා"" ඉදිරියට එන්න!",Let The Chosen One step forward!,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
මොකක් එයා එච්චර මුදලක් හෙව්ව.,He earned that money.,si,opus_ne_si_en_train.csv,5,4,1.25
हालको फाइल मुद्रण गर्नुहोस्,Export the current sheet as a text file,ne,opus_ne_si_en_train.csv,4,8,0.5
"අහ්, ඇක්විලා කහ.","Ah, I'Aquila saffron.",si,opus_ne_si_en_train.csv,3,3,1.0
ඔයාට ඒ එකක්වත් පුපුරනවා බලන්න ඕනේ නෑනේ.,Those balloons can be a bit dodgy.,si,opus_ne_si_en_train.csv,7,7,1.0
බෝම්බවලින් මාව රවට්ටන්න බෑ,You can't scare me with bombs.,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
මදර් ෆකර් කියල කර්නල් කියන්නෙ එයාගෙ ආරම්භය විතරයි කියල.,The Motherfucker's tweeted that the Colonel was just the beginning.,si,opus_ne_si_en_train.csv,9,10,0.9
ඊට වඩා මිල අධිකයි ඔහුගේ සපත්තු..,But not nearly as expensive as his John Varvatos shoes.,si,opus_ne_si_en_train.csv,6,10,0.6
- මම හිතන්නෙ ඔවුන්... මොකද?,- I think that they're... what?,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
මීළඟNext: ක්‍රම සහ විදි,Next: Tips & Tricks,si,opus_ne_si_en_train.csv,4,4,1.0
කරයිකුඩි සිට පැමිණි සාම්ප්‍රදායික නර්ථන ශිල්පීනුත්... ඔවුන්ගේ අසමසම නර්ථන වින්‍යාසයන් නැරබීමට සාදරයෙන් පිළිගනු ලබනවා.,We are the traditional dancers from Karaikudi welcome you all to give a stunning performance,si,opus_ne_si_en_test.csv,14,15,0.9333333333333332
"ඒත් ඒ රාමුව තුල, ඔයා එවේලේ තැනෙන කෙනෙක්.","But within that framework, you improvise.",si,opus_ne_si_en_train.csv,8,6,1.3333333333333333
"ඔව්, නමුත් මම ඒක හොදටම කරනවා!","Yeah, but I'm really good at it.",si,opus_ne_si_en_train.csv,6,7,0.8571428571428571
.. - එහෙම කියන්න එපා.,Don't say that.,si,opus_ne_si_en_train.csv,5,3,1.6666666666666667
සද්ද නැතුව අ යී පී එල් බලාගෙන හිටියා.,We kept quiet and watched the IPL.,si,opus_ne_si_en_train.csv,8,7,1.1428571428571428
पत्रमञ्जूषा ६,Mailbox 6,ne,opus_ne_si_en_train.csv,2,2,1.0
ඒකට මම කැමතියි.,I like that.,si,opus_ne_si_en_train.csv,3,3,1.0
ඡන්දෙන් පේනී යනවා එක්සත් ජනපදය සිවිල් අයිතිවාසිකම් වලට සහයෝගය නොදෙන බව.,Polls show the US does not support civil rights.,si,opus_ne_si_en_train.csv,11,9,1.2222222222222223
ගරුකරපු නිසා තමයි මෙතැන වාඩි කරෙුවේ නැත්නම් ඇතුලටම දානවා නේ.,"Because I gave him respect, he's sitting here. Else, he would've been behind bars.",si,opus_ne_si_en_train.csv,10,14,0.7142857142857143
මම ඔයත් එක්ක නටන එක මග හැරලා යන්නේ නෑ∙ මොකද මට ඕනා ඔයාව∙,"I'm going to the dance with you not by default, but because I want to.",si,opus_ne_si_en_train.csv,13,15,0.8666666666666667
මේක එච්චර කලින් උන දෙයක් නෙමෙයි.,He didn't.,si,opus_ne_si_en_train.csv,6,2,3.0
ඔයා මගේම පොඩි වීරයා.,You're my own little hero.,si,opus_ne_si_en_train.csv,4,5,0.8
සමහර විට ඔයාට මේ තැන ගැන ටිකක් ලියන්න පුලුවන්?,Maybe you could write a piece on the place?,si,opus_ne_si_en_train.csv,9,9,1.0
"එයා කපටි මීයෙක් වගේ දක්ෂයි, ඒ නිසා සම්පූර්ණ බලය යොදවන්න, හරිද?","He's as smart as a dunny rat, so full aggression, okay?",si,opus_ne_si_en_train.csv,11,11,1.0
"ඔබ ඇයට පෙනේ නම්, ඔබ මට පණිවිඩයක් යවයි?","If you see her, will you deliver a message from me?",si,opus_ne_si_en_train.csv,8,11,0.7272727272727273
-ඔයා රසකැවිලි ටිකක් ආච්චිට තියාගත්තාද?,"Hello, Mr. Baker.",si,opus_ne_si_en_train.csv,5,3,1.6666666666666667
අපේ මේ පිස්සු විවාහේ ලස්සනට ගන්න ඕනේ.,"If we're gonna do something crazy, we're gonna do it with style.",si,opus_ne_si_en_train.csv,7,12,0.5833333333333334
"-ඔව්, මං එහෙම හිතනවා∙","- Yeah, I think so.",si,opus_ne_si_en_train.csv,4,5,0.8
එයාලා ඔබේ කථාවට බයවෙලා .,That men shall tremble to behold.,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
"""ගොනු බැඳි රථයෙත් යනවා""",We travel in the bullock cart.,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
මොන පිස්සුවක්ද? මේ බල්ලොන්ට වෙලා තියෙන්නේ...,What's wrong with those dogs?,si,opus_ne_si_en_train.csv,6,5,1.2
මගෝ කැලිබර් හා මගෝ ස්වභාවය.,My caliber and my nature!,si,opus_ne_si_en_train.csv,5,5,1.0
क्यालिब्रेसनले तपाईँको यन्त्र वितरण मान दायरा जाँच गर्छ । कृपया अक्ष% 1% 2 तपाईँको यन्त्रको केन्द्र स्थितिमा सार्नुहोस् । पछिल्लो चरणको निरन्तरताका लागि यन्त्रको कुनै बटन थिच्नुहोस् वा 'पछिल्लो' बटनमा क्लिक गर्नुहोस् ।,Calibration is about to check the value range your device delivers. Please move axis %1 %2 on your device to the center position. Press any button on the device or click on the'Next 'button to continue with the next step.,ne,opus_ne_si_en_train.csv,33,40,0.825
ඔය මොකද්ද?,What is it?,si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
"ආරක්ෂක අමාත්‍යාංශයෙදි, අපි එක මූලධර්මයක් පිලිපැද්ද.","In the Stasi, we had a basic principle.",si,opus_ne_si_en_train.csv,6,8,0.75
"ඌට ඇහුම්කන් දෙන්න එපා , ඇනකින්!","Don't listen to him, Anakin!",si,opus_ne_si_en_train.csv,6,5,1.2
"නැහැ, නරකාදියක් එය, ඒක ඉවරයි.","No, fuck it. It's over.",si,opus_ne_si_en_train.csv,5,5,1.0
"මට දැනෙනවා අපේ සම්බන්ධය තව තවත වැඩි වෙනවා කියලා,","I can feel our connection growing stronger,",si,opus_ne_si_en_train.csv,9,7,1.2857142857142858
"- ඥාති පුතාගේ අත කැඩුනු දුකට මම මොනවාද අහන්නේ කියා , මමවත් දන් නැහැ.","After he broke his hand, I'm very confused",si,opus_ne_si_en_train.csv,14,8,1.75
මේ ගහ පස්සට ඇදලා,"Can you pull back the tree,",si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
"නැහැ, නමුත් මම අන්තිමට ක්‍රිස්ටින් එක්ක කතා කළා, එයාට ඕනේ අපි සේරම එක්ක සති අන්තයේ පිසා කන්න.","No, but I did finally speak with Christine, who wants us all to grab a pizza this weekend.",si,opus_ne_si_en_train.csv,17,18,0.9444444444444444
මම තමයි මෙතන ආරක්ෂකයා.,I'm the groundskeeper here.,si,opus_ne_si_en_train.csv,4,4,1.0
ඌ ගියා.,"Hey, leave her.",si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
මං මේ වෙලාවේ වද වෙන්නේ එක දෙයක් ගැන.,There's bigger things to worry about at the moment.,si,opus_ne_si_en_train.csv,8,9,0.8888888888888888
ඇයි මොක්ද්ද ප්‍රශ්නය,- Why? - what's the matter?,si,opus_ne_si_en_train.csv,3,6,0.5
විනාඩි 20 ක් ඇතුලත?,In 20 minutes?,si,opus_ne_si_en_train.csv,4,3,1.3333333333333333
"කමක් නෑ, ඒත් අපි ලග ළනුවක්වත් නැතුව","Fine, seeing as we have no rope",si,opus_ne_si_en_train.csv,7,7,1.0
- රෝගී ලක්ෂණ ගැලපෙනවා. ඒත් ඒක වෙන්න ඕනා විදියට පැතිරෙන්නෙත් නෑ.,"- Symptoms match, but it's not spreading the way it should either.",si,opus_ne_si_en_train.csv,11,12,0.9166666666666666
"ව්‍රෙකර්ස්, ඔහුව මරන්න!","Wreckers, kill him!",si,opus_ne_si_en_train.csv,3,3,1.0
- මගෙ එකෙන් අයින් වෙලා ඉන්න.,"- Well, stay out of mine.",si,opus_ne_si_en_train.csv,6,6,1.0
"අම්මා පොඩ්ඩක් ඉන්න , අම්මා!","Mum! Wait a minute, Mum!",si,opus_ne_si_en_train.csv,5,5,1.0
මම හිතුවේ වසීම් එතනට ගියේ කියල,I kept wondering why Wasim went to that theatre to meet Amit.,si,opus_ne_si_en_train.csv,6,12,0.5
- ඔයා දන්නවා ඒක.,- You know why.,si,opus_ne_si_en_train.csv,4,4,1.0
ඔයා දන්නවාද මම තමයි අවුරුදු 5ක් පුරාවටම ක්‍රිස්ටල් කෝව් වල රූ රැජිණ?,"Did you know that I was Ms. Crystal Cove, five years running?",si,opus_ne_si_en_train.csv,12,12,1.0
"මට පෙනහලු පිලිකාවක් හැදුනා, ඉතින් අවශ්‍ය වුනා ඉඔබ් දෙකක බද්ද කිරීමක්.","I got lung cancer, and i needed a double-iobe transplant.",si,opus_ne_si_en_train.csv,11,10,1.1
Palmer මහත්තයා ඔයා විවිධ මට්ටම් වල දස්කම් දක්වපු කෙනෙක්.,"Your shine isn't worth a nickel, Mr Palmer.",si,opus_ne_si_en_train.csv,9,8,1.125
"ඇයි, ඔයා මම එළවන විදිහට කැමැති නැද්ද?","What, you don't like my driving? I...",si,opus_ne_si_en_train.csv,7,7,1.0
"ඔයා ඒ ප්‍රශ්නෙ අහපු එක ඇත්තට පුදුමයි, බිල්...","It's funny you should ask that question, Bill...",si,opus_ne_si_en_train.csv,8,8,1.0
- ඔයා හොඳට කරනවා.,-You are doing great.,si,opus_ne_si_en_train.csv,4,4,1.0
සර් ආව්.,Sir! Ouch!,si,opus_ne_si_en_train.csv,2,2,1.0
- ඊටත් වඩා..,- I'm a lousy shot.,si,opus_ne_si_en_train.csv,3,5,0.6
"නැත්නම්, ""she whose name calls others to water.""","Or, ""she whose name calls others to water.""",si,opus_ne_si_en_train.csv,8,8,1.0
අපිට උන්ගේ සද්දේ අන්තිමට ඇහුනේ කොච්චර වෙලාවකට කලින්ද?,How long since we've heard them?,si,opus_ne_si_en_train.csv,8,6,1.3333333333333333
අද රෑට ලොස් ඇන්ජලීස් වල ඉදන් සිඩ්නි වලට යන්න,"A plane ticket from Los Angeles to Sydney, tonight. Return trip first thing in the morning.",si,opus_ne_si_en_train.csv,9,16,0.5625
"හොඳයි, අඩුම ගණනේ හැමවිටම තව රැල්ලක් එනවා.","Well,at least there's always another wave. True.",si,opus_ne_si_en_train.csv,7,7,1.0
මැච් එක ඇයගේ නමින් පුදන්න කලින් හිතන්න තිබ්බා‍,"You shou_BAR_d've thought once.. ..before dedicating the match to her, that.",si,opus_ne_si_en_train.csv,8,11,0.7272727272727273
"සමාවෙන්න, මේ හරි වෙලාව නෙවේ.",I'm sorry. Now's not a good time.,si,opus_ne_si_en_train.csv,5,7,0.7142857142857143
ඔයා මගෙත් එක්ක මෙතන ඉන්න එක ලොකු දෙයක්.,"- Well, good thing I'll have you in here.",si,opus_ne_si_en_train.csv,8,9,0.8888888888888888
- මම අල්ලගත්තා!,- I gotcha!,si,opus_ne_si_en_train.csv,3,3,1.0
"හොඳ විසිකිරිල්ලක්, තාත්තේ.","Good throw, father.",si,opus_ne_si_en_train.csv,3,3,1.0
"निर्गत फाइलनाम र मार्ग: तपाईँको आवश्यकतासँग मिल्ने मार्ग र फाइलनाम सिर्जना गर्न यो लाइन सम्पादन गर्नुहोस् । (यदि तपाईँले ""फाइललाई मुद्रण गर्नुहोस्"" गर्नु भएमा बटन र लाइनसम्पादन फिल्ड उपलब्ध हुन्छ)","Output File Name and Path: Edit this line to create a path and filename that suits your needs. (Button and Lineedit field are only available if you ""Print to File"")",ne,opus_ne_si_en_train.csv,30,30,1.0
මට මෙහෙම ආරාධනා කලාට ස්තූතියි.,Thank you for inviting me over.,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
ඔයාට අවුලක් නැහැ නේද කොල්ලෝ.,"You're okay, kid.",si,opus_ne_si_en_train.csv,5,3,1.6666666666666667
ඔයා මැක්ස්ව දැක්කද ?,- Have you seen Max?,si,opus_ne_si_en_train.csv,4,5,0.8
ඔයා ඇයව මැරුව,And you killed her,si,opus_ne_si_en_train.csv,3,4,0.75
එක නිසාද ඔයා අවුල් වුනේ නැත්නම් එයා ඔයාව අදුනනවා කියපු නිසාද?,Is the reason you're so upset because he said he recognised you?,si,opus_ne_si_en_train.csv,11,12,0.9166666666666666
वर्ग (५x५) अस्पष्ट,square (5x5) blur,ne,opus_ne_si_en_train.csv,3,3,1.0
- ඒක අවුලක් නෑ.,- It's all good.,si,opus_ne_si_en_train.csv,4,4,1.0
ඇයි ඔයා මට ඔයාට බීම එකක් අරන් දෙන්න එපා?,Why don't you let me buy you a drink?,si,opus_ne_si_en_train.csv,9,9,1.0
पूर्वनिर्धारित भाषा:,Fallback language:,ne,opus_ne_si_en_train.csv,2,2,1.0
"සමාවෙන්න, මම එයා එක්ක ටිකක් දරුණු විදියට හැසිරුනා නේද. වරද ඔයගේ.","Sorry, that day I was a bit too rude with her. lt was your mistake.",si,opus_ne_si_en_train.csv,11,15,0.7333333333333333
මමයි අලුත් ඊස්ටර් රජා,I will be Easter's new king!,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
"වාසනාවන්ත විදිහට, ඒක බරෙනුයි ප්‍රමාණයෙනුයි කාඩ් කුට්ටමක කාඩ් එකකට සමානයි, ඒ නිසා අපිට අපේ කාඩ් අංශයේ දැනුම හදාගන්න වෙනවා.","Luckily, it's similar in weight and size to a playing card, so we're gonna have to brush up on our card-istry.",si,opus_ne_si_en_train.csv,19,21,0.9047619047619048
विच्छेदन बिन्दु अक्षम गर्नुहोस्,Enable a breakpoint,ne,opus_ne_si_en_train.csv,4,3,1.3333333333333333
එයාලා බැඳලා නෑ.,They're not married.,si,opus_ne_si_en_train.csv,3,3,1.0
"यसको माथि माउस सार्ने बेलामा, यदि तपाईँले फाइलका लागि ठूलो पूर्वावलोकन समावेश गर्न पपअप सञ्झ्याल चाहनु भएमा यहाँ नियन्त्रण गर्न सक्नुहुन्छ ।","Here you can control if you want the popup window to contain a larger preview for the file, when moving the mouse over it.",ne,opus_ne_si_en_train.csv,22,24,0.9166666666666666
"සර්, කාර් එකට වෙලා ඉන්න, කරුණාකරල.","Sir, stay in your car, please.",si,opus_ne_si_en_train.csv,6,6,1.0
"ඔයාගේ පස්සෙන් මිනිස්සු එනවානම්, ඔයා නිසා අපි ඔක්කොම අමාරුවේ වැටේවි",You put all of us at risk.,si,opus_ne_si_en_train.csv,10,7,1.4285714285714286
"එන්න, කොන්ඩි මට බඩගිනියි, අපි ගිහින් උදේ කෑම කමු.","Come along, Kondi. I am hungry. Let's go have breakfast.",si,opus_ne_si_en_train.csv,9,10,0.9
මම ඔයාගේ ලගට එන්න පරක්කු වෙන්නේ ඒ තෑග්ග හින්දා තමයි.,I stayed away from you because of that surprise.,si,opus_ne_si_en_train.csv,10,9,1.1111111111111112
- මෙහෙන් යන්න!,- Get out of here!,si,opus_ne_si_en_train.csv,3,5,0.6
එයා කොච්චරක් කැස්සට බොන සිරප් එක බිව්වද?,How much cough syrup did she have?,si,opus_ne_si_en_train.csv,7,7,1.0
එයා විද්‍යුත් තරංග එවනවා,He's sending electrical surges,si,opus_ne_si_en_train.csv,4,4,1.0
ඔයාට බෝට්ටුවක් හදන්න ඕන?,- You want to build a boat?,si,opus_ne_si_en_train.csv,4,7,0.5714285714285714
අපි හැමෝටම වඩා දුරට ඔහු ඒක කරා.,He made it farther than either of us.,si,opus_ne_si_en_train.csv,7,8,0.875
"ඉන්න බැරිවෙන්න බීලා, මල කරදරේ!",I can't stand him as he gets drunk!,si,opus_ne_si_en_train.csv,5,8,0.625
- මම හදන්නේ ඔයාට බාධා කරන්න.,- I'm going to give you crabs.,si,opus_ne_si_en_train.csv,6,7,0.8571428571428571
ඉක්මන් කරන්න-,Hurry up.,si,opus_ne_si_en_train.csv,2,2,1.0
- බායි. ඇරලා තියෙන්නේ.,Thank you for doing this.,si,opus_ne_si_en_train.csv,4,5,0.8
ජැක් ඔයා හොදින්ද ?,"- Jack, are you all right?",si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
"එන්න, පැටියෝ.","Come on, honey.",si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
ඔයා Shrugs අඳින්න ඕනේ.,Shrugs. You'll keep wearing the shrugs.,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
පරිවාහක තටාකගත කිරීමේ මෙහෙයුමකට සූදානම් වෙන්න!,Prepare for transporter docking operations!,si,opus_ne_si_en_train.csv,6,5,1.2
"මෙහෙයුම් දියත් කිරීමේ සංකේතය "" ඇයීරීන් "".",Mission launch code word is Irene.,si,opus_ne_si_en_train.csv,7,6,1.1666666666666667
ඔහු හිටියේ කැමරාව ඉස්සරහා.,I noticed that he always left the camera standing.,si,opus_ne_si_en_train.csv,4,9,0.4444444444444444
"ඒත් ඔයා කිව්වා හෙට ඔයාට වැඩ තියෙන නිසා, අපිට ඒක යන්න විදිහක් නෑ කියලා. ඊටපස්සේ ඔයා මාව ඇඳට අරගෙන ගියා.",But you said that we couldn't make it because I had to work the next day and you had to get me to bed.,si,opus_ne_si_en_train.csv,20,24,0.8333333333333334
प्रयोगकर्ता जसले यो प्रक्रिया प्राप्त गर्दछ,The current total CPU usage of the process.,ne,opus_ne_si_en_train.csv,6,8,0.75
- ඇති වෙන්න සරලයි.,Simple enough.,si,opus_ne_si_en_train.csv,4,2,2.0
ඒක නියමයි..,That was awesome!,si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
දැන් ඔයා මම ඉන්න තැන් ගැන හරියටම දැනගන්නවනේ.,"Well, now you know exactly where I am all of the time.",si,opus_ne_si_en_train.csv,8,12,0.6666666666666666
ඔයා මට තර්ජනය කරනවද?,Are you threatening my life?,si,opus_ne_si_en_train.csv,4,5,0.8
දේශයටයි පොලිස් බලකායටයි කම්මුල් පහරක්.,A slap on the nation and its police force.,si,opus_ne_si_en_train.csv,5,9,0.5555555555555556
අපිට අවුලක් නෑ.,We're clear.,si,opus_ne_si_en_train.csv,3,2,1.5
හායි ! ජේන්,"Hi, John.",si,opus_ne_si_en_train.csv,3,2,1.5
ඔයත් උඩ ඉඳන් පහලටම බැලුවනේ.,You vetted her up and down.,si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
"ඔව්, චන්දර් කියපං","Yes, Chandar?",si,opus_ne_si_en_train.csv,3,2,1.5
මගේ එයා ගැන තිබුන විස්වාසය ගොඩක් පාරක් නැතිකරලා දැම්මා,Abused my good faith on more than one occasion.,si,opus_ne_si_en_train.csv,9,9,1.0
අපිට ප්‍රථමාධාර අවශ්‍යෙ වෙනවා,We're gonna need a little first aid. Accessing first aid data.,si,opus_ne_si_en_train.csv,4,11,0.3636363636363636
මේ මොහොතකට විතරක් මගේ ජීවිතය වෙනස් වුනා.,And in just one moment my life had changed,si,opus_ne_si_en_train.csv,7,9,0.7777777777777778
උබ මොකද හිතන්නේ?,What do you think?,si,opus_ne_si_en_train.csv,3,4,0.75
අපි සූදානම්.,We are ready down there.,si,opus_ne_si_en_train.csv,2,5,0.4
ඒකෙන්ද ඔයාගෙ ජීවිතේ රැකිලා තියෙන්නෙ?,"Oh, my God, is that the thing that's keeping you alive?",si,opus_ne_si_en_train.csv,5,11,0.4545454545454545
මේක බයෙන් කලබලයට පත් වීමක් වෙලා ධවල මන්දිරය තුල.,"Boy, is it a flurry of excitement over here at the White House.",si,opus_ne_si_en_train.csv,9,13,0.6923076923076923
එකතු වෙලා !,Together! Together!,si,opus_ne_si_en_train.csv,3,2,1.5
बर्ग मुल[s]unit-format,Square Meters,ne,opus_ne_si_en_train.csv,2,2,1.0
पछिल्लो समक्रमणले ह्यान्डहेल्ड डेटालाई PC मा प्रतिलिपि गर्नेछ ।,Next HotSync will copy Handheld to PC.,ne,opus_ne_si_en_train.csv,9,7,1.2857142857142858
දැන් ඒකට වෙලාවක් නෑ.,There is no time.,si,opus_ne_si_en_train.csv,4,4,1.0
मेल जाँच गर्नुहोस्,All Readers of This Folder,ne,opus_ne_si_en_train.csv,3,5,0.6
කතා කරපං මනුස්සයෝ!,"Speak, man!",si,opus_ne_si_en_train.csv,3,2,1.5
प्यानलमा यसलाई ड्रअरका रूपमा थप्नुहोस्,Add this as _drawer to panel,ne,opus_ne_si_en_train.csv,5,6,0.8333333333333334
මම මගෙ ආයුධ හොයාගෙන ඒව විනාශ කරල දානවා. ඒත් මට ඔයාට උදව් කරන්න බෑ ඔයා ඒ හැම දෙයක්ම ආයෙත් පටන් ගන්න යනවනම්.,"I'm going to find my weapons and destroy them. Tony, you know that I would help you with anything, but I cannot help you if you're going to start all of this again.",si,opus_ne_si_en_train.csv,22,33,0.6666666666666666
මම ඔයාව හෙ හමුවෙන්නම් හෙ,- I'll see you tomorrow. - Tomorrow.,si,opus_ne_si_en_train.csv,5,7,0.7142857142857143
"ඔයා ලෑස්තිවුන ගමන්,ඩීඩී.","Ready when you are, Deedee.",si,opus_ne_si_en_val.csv,3,5,0.6
හදන්න ඕක.,Fix it.,si,opus_ne_si_en_train.csv,2,2,1.0
තේරුනා නේද?,Get it?,si,opus_ne_si_en_train.csv,2,2,1.0
ඒක ආපසු පැමිණෙනවා ..,Keeps coming back.,si,opus_ne_si_en_train.csv,4,3,1.3333333333333333
ඒක මගෙ සීයාගෙ පරණ සිතුවමක්.,It's an old portrait of my grandfather.,si,opus_ne_si_en_train.csv,5,7,0.7142857142857143
"වාර්තා වලින් පෙන්නනවා ඔයා සෑහෙන්න බුද්ධිමත් කියලා, ආ?","Records indicate that you are highly intelligent, huh?",si,opus_ne_si_en_train.csv,8,8,1.0
प्लेसूची बचत गर्नुहोस्,"& Save playlist to ""%1""",ne,opus_ne_si_en_train.csv,3,5,0.6
नयाँ डाइरेक्टरी सिर्जना गर्दा एउटा त्रुटि देखा पर्यो,An error occurred while creating a new file,ne,opus_ne_si_en_train.csv,8,8,1.0
ඇයි මම මොනවත් කරන්නේ එයාට ?,- Why would I do anything?,si,opus_ne_si_en_train.csv,6,6,1.0
මොකද දඟලන්නෙ?,Do you want to tire yourself?,si,opus_ne_si_en_train.csv,2,6,0.3333333333333333
- ඉසාම් එපා∙,"- Essam, don't.",si,opus_ne_si_en_train.csv,3,3,1.0
මොකද එක වෙන්න බැහැ.,Because that would be impossible.,si,opus_ne_si_en_train.csv,4,5,0.8
डाटाबेस सर्भर,Database provider,ne,opus_ne_si_en_train.csv,2,2,1.0
"මම දන්නවා කෙන්ට් ලා , ඒ වගේම ඔයාලටත් බැ ඒක විකුණන්න කියලා ඔවුන්ට කියන්න","I know the Kents, and not even you can convince them to sell that farm.",si,opus_ne_si_en_train.csv,14,15,0.9333333333333332
चयन गरिएको प्याकेज बारेमा बढि सूचना प्रर्दशन गर्नुहोस्,Display more information about the selected package,ne,opus_ne_si_en_train.csv,8,7,1.1428571428571428
මට හෙනගහපන්. මට තියෙන්නේ ඒක කළු ඇදුමයි.,I only own the one black dress.,si,opus_ne_si_en_train.csv,7,7,1.0
लेख्नका लागि फाइल खोल्न सकिदैन ।,Cannot open file for writing.,ne,opus_ne_si_en_train.csv,6,5,1.2
ඒක බොහොම හොඳයි.,That's very good.,si,opus_ne_si_en_train.csv,3,3,1.0
අල්ලාගෙන සිටිමට අවසානය දන්වා.. අපි එකතුවන තුරු.,To hold on to until we can be together in a sex-way.,si,opus_ne_si_en_train.csv,7,12,0.5833333333333334
पोर्ट मारियाncamerica. kgm,Port Vila,ne,opus_ne_si_en_train.csv,3,2,1.5
උපදේශක රහස් පරීක්ෂකයෙක්,Consulting detective.,si,opus_ne_si_en_train.csv,3,2,1.5
කෙනෙක්ට අනතුරක් වෙලා මතකය නැති වුනත් ..එයාගෙ හැකියාවට මොනවත් වෙන්නේ නෑ,When a man loses his memory in an accident his skills will still be intact,si,opus_ne_si_en_train.csv,11,15,0.7333333333333333
ඒවගේම අපි දන්නවනෙ මෙයාට එයාගැන බලාගන්න පුළුවන් කියලා.,And we all know she can handle herself.,si,opus_ne_si_en_train.csv,8,8,1.0
කෝකියා උයනවා.,A cook makes.,si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
- අපි වාසනාව සඳහා එක් කරමු.,- Let's do one for good luck.,si,opus_ne_si_en_train.csv,6,7,0.8571428571428571
මහා පෞරුෂත්ව න්‍යායවාදියා සිල්වන් ටොම්ස්කින් කියපු විදිහට.,Or so said the great personality theorist Silvan Tomkins.,si,opus_ne_si_en_train.csv,7,9,0.7777777777777778
- මොකද එතකොට ඔයා අර කියපුවාට වෙන්නේ උදේ වෙනකම් ඉන්නවා ඉර පායනවා බලන්න කියල?,What about all that stuff you said about waiting till morning and watching the sunrise?,si,opus_ne_si_en_train.csv,14,15,0.9333333333333332
"අපි බලපත්‍ර දෙනව ඔයාගෙ වැඩ වලට වැඩිම ලංසු තබන්නාට, ඔයා දන්නවනෙ, ඒක උසස් ප්‍රචාරක වැඩසටහනක් වේවි, නැත්නම්, අම්, ඔයා දන්නවනෙ, ඇඳුම් පැළඳුම් වලට ආශ්වාසයක්.","We would license your work to the highest bidder, you know, it could be a classy advertising campaign, or, um, you know, inspiration for a clothing line.",si,opus_ne_si_en_train.csv,24,27,0.8888888888888888
දන්නවනේ වෙන කූඩුවක බිත්තර දාපුවම වෙන දේ?,You know what happens when a cuckoo hatches inside another bird's nest?,si,opus_ne_si_en_train.csv,7,12,0.5833333333333334
वर्णनात्मक तथ्याङ्क,Descriptive Statistics,ne,opus_ne_si_en_train.csv,2,2,1.0
අනවසර අවි ලඟ තබා ගැනීම.,Possession of unsanctioned weapons.,si,opus_ne_si_en_train.csv,5,4,1.25
දාරයක් නොමැත,No Border,si,opus_ne_si_en_train.csv,2,2,1.0
